time_sec,dominant_emotion,scores
0,sad,"{'angry': 1.4149360270760076, 'disgust': 9.834967915634896e-06, 'fear': 17.53505870908849, 'happy': 0.004177982076551628, 'sad': 77.74312363523981, 'surprise': 0.05770729383757972, 'neutral': 3.244986951052365}"
1,sad,"{'angry': 0.1619813594657993, 'disgust': 4.1818548340973e-08, 'fear': 0.7479550297084469, 'happy': 1.267817926270905e-06, 'sad': 98.89913194770408, 'surprise': 5.456919508446551e-06, 'neutral': 0.19092496924027616}"
2,sad,"{'angry': 0.12166922965427991, 'disgust': 1.3196843414720353e-06, 'fear': 7.055992729186145, 'happy': 0.002220690194981494, 'sad': 92.73477706131662, 'surprise': 0.009833519005859674, 'neutral': 0.0755066956997449}"
3,sad,"{'angry': 7.2685375809669495, 'disgust': 0.002035994293692056, 'fear': 7.17247873544693, 'happy': 0.0910785689484328, 'sad': 65.65623879432678, 'surprise': 0.14062534319236875, 'neutral': 19.669005274772644}"
4,neutral,"{'angry': 1.3560029678046703, 'disgust': 0.0003483203954601777, 'fear': 0.10965591063722968, 'happy': 0.07911629509180784, 'sad': 7.856650650501251, 'surprise': 0.0025923898647306487, 'neutral': 90.59563875198364}"
5,happy,"{'angry': 0.008342380169779062, 'disgust': 8.088056802080246e-05, 'fear': 8.399294316768646, 'happy': 86.10743880271912, 'sad': 0.18909808713942766, 'surprise': 4.173681512475014, 'neutral': 1.1220665648579597}"
6,sad,"{'angry': 0.12398447142913938, 'disgust': 2.756342709631099e-07, 'fear': 1.4562557451426983, 'happy': 0.00011522467957547633, 'sad': 97.48367667198181, 'surprise': 6.717740461681387e-05, 'neutral': 0.9358990006148815}"
7,sad,"{'angry': 5.081356316804886, 'disgust': 0.00022031015305401525, 'fear': 21.829985082149506, 'happy': 0.03202968218829483, 'sad': 71.70749306678772, 'surprise': 0.7687755394726992, 'neutral': 0.5801386199891567}"
8,sad,"{'angry': 4.604510590434074, 'disgust': 0.18191331764683127, 'fear': 14.968043565750122, 'happy': 4.815495386719704, 'sad': 54.93364930152893, 'surprise': 0.7522238418459892, 'neutral': 19.744162261486053}"
9,sad,"{'angry': 11.661140620708466, 'disgust': 0.00011808704130089609, 'fear': 14.814426004886627, 'happy': 0.14591757208108902, 'sad': 69.63855624198914, 'surprise': 0.25926236994564533, 'neutral': 3.4805811941623688}"
10,fear,"{'angry': 0.0005672053248417797, 'disgust': 1.4579579765694461e-07, 'fear': 65.7442033290863, 'happy': 0.020808595581911504, 'sad': 18.224111199378967, 'surprise': 0.0035728684451896697, 'neutral': 16.00673496723175}"
11,neutral,"{'angry': 0.012973260891158134, 'disgust': 2.5244212276120948e-08, 'fear': 20.98996490240097, 'happy': 1.0578535497188568, 'sad': 19.805169105529785, 'surprise': 0.6718960590660572, 'neutral': 57.46214985847473}"
12,sad,"{'angry': 0.08379275095649064, 'disgust': 4.949017237687592e-09, 'fear': 34.93153154850006, 'happy': 0.002188480539189186, 'sad': 49.125054478645325, 'surprise': 15.81396609544754, 'neutral': 0.04347054928075522}"
